Bezeichnung,Land,Kalenderjahr,Urlaubsdaten,Urlaubsdaten/Anzeigename,Urlaubsdaten/Datum,Urlaubsdaten/Datum kann sich ?ndern
2022 (Schweiz),Schweiz,2022,Neujahr,Neujahr,01.01.22,false
,,,Berchtoldstag ,Berchtoldstag ,02.01.22,false
,,,Dreik?nigsfest,Dreik?nigsfest,06.01.22,false
,,,Karfreitag,Karfreitag,15.04.22,True
,,,Ostermontag,Ostermontag,18.04.22,True
,,,Tag der Arbeit,Tag der Arbeit,01.05.22,false
,,,Auffahrt,Auffahrt,26.05.22,True
,,,Pfingstmontag,Pfingstmontag,06.06.22,True
,,,Fronleichnam,Fronleichnam,16.06.22,True
,,,Bundesfeiertag,Bundesfeiertag,01.08.22,false
,,,Mari? Himmelfahrt,Mari? Himmelfahrt,15.08.22,false
,,,Allerheiligen,Allerheiligen,01.11.22,false
,,,Mari? Empf?ngnis,Mari? Empf?ngnis,08.12.22,false
,,,Weihnachtstag,Weihnachtstag,25.12.22,false
,,,Stephanstag,Stephanstag,26.12.22,false
