Name,Straße,Straße2,PLZ,Stadt,Telefon,Land,Bankleitzahl (BIC)
Aargauische Kantonalbank,Bahnhofplatz 1,Postfach 2104,5001,Aarau,062 835 77 77,Schweiz,KBAGCH22XXX
Aargauische Kantonalbank,Bahnhofplatz 1,Postfach 2104,5001,Aarau,062 835 77 77,Schweiz,KBAGCH22XXX
"ABANCA CORPORACION BANCARIA S.A., BETANZOS",Rue du Mont-Blanc 14,Case postale 1283,1211,Genève 1,022 592 94 00,Schweiz,CAGLCHGGXXX
"ABANCA CORPORACION BANCARIA S.A., BETANZOS",Rue du Mont-Blanc 14,Case postale 1283,1211,Genève 1,022 592 94 00,Schweiz,CAGLCHGGXXX
acrevis Bank AG,Marktplatz 1,Postfach,9004,St. Gallen,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Marktplatz 1,Postfach,9004,St. Gallen,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,St. Gallerstrasse 7,,9300,Wittenbach SG,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Landstrasse 6,,9606,Bütschwil,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Mittlere Bahnhofstrasse 2,,8853,Lachen SZ,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Churerstrasse 24,,8808,Pfäffikon SZ,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Poststrasse 4,,9201,Gossau,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Hauptplatz 6,,8640,Rapperswil SG,058 122 75 55,Schweiz,ACRGCH22XXX
acrevis Bank AG,Lerchenfeldstrasse 9,,9500,Wil SG,058 122 75 55,Schweiz,ACRGCH22XXX
AEK BANK 1826 Genossenschaft,Hofstettenstrasse 2,Postfach,3601,Thun,033 227 31 00,Schweiz,AEKTCH22XXX
AEK BANK 1826 Genossenschaft,Hofstettenstrasse 2,Postfach,3601,Thun,033 227 31 00,Schweiz,AEKTCH22XXX
Alpha RHEINTAL Bank AG,Bahnhofstrasse 2,,9435,Heerbrugg,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Bahnhofstrasse 2,,9435,Heerbrugg,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Bahnhofplatz,,9430,St. Margrethen SG,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Bahnhofstrasse 7,,9443,Widnau,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Staatsstrasse 103,Postfach,9463,Oberriet SG,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Turnhallestrasse 1,Postfach,9436,Balgach,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Auerstrasse 1,,9442,Berneck,071 747 95 95,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,Adlerstrasse 35,Postfach,4020,Basel,061 378 85 80,Schweiz,ARBHCH22XXX
Alpha RHEINTAL Bank AG,,Postfach 338,9001,St. Gallen,071 228 41 00,Schweiz,BJAGCH2GXXX
Alpha RHEINTAL Bank AG (ex Volksbank AG),Bahnhofstrasse 2,Postfach,9435,Heerbrugg,071 747 55 30,Schweiz,RBABCH22VVB
Alternative Bank Schweiz AG,Amthausquai 21,Postfach,4601,Olten,062 206 16 16,Schweiz,ABSOCH22XXX
Alternative Bank Schweiz AG,Amthausquai 21,Postfach,4601,Olten,062 206 16 16,Schweiz,ABSOCH22XXX
AP ANLAGE & PRIVATBANK AG,Limmatquai 4,,8001,Zürich,044 787 62 00,Schweiz,ANPRCH22XXX
AP ANLAGE & PRIVATBANK AG,Limmatquai 4,,8001,Zürich,044 787 62 00,Schweiz,ANPRCH22XXX
Appenzeller Kantonalbank,,Postfach,9050,Appenzell,071 788 88 88,Schweiz,AIKACH22XXX
Appenzeller Kantonalbank,,Postfach,9050,Appenzell,071 788 88 88,Schweiz,AIKACH22XXX
Aquila AG,Bahnhofstrasse 43,,8001,Zürich,058 680 60 00,Schweiz,AQULCHZZXXX
Aquila AG,Bahnhofstrasse 43,,8001,Zürich,058 680 60 00,Schweiz,AQULCHZZXXX
Arab Bank (Switzerland) Ltd.,place de Longemalle 10-12,Postfach 2023,1204,Genève,022 715 12 11,Schweiz,ARBSCHZZXXX
Arab Bank (Switzerland) Ltd.,place de Longemalle 10-12,Postfach 2023,1204,Genève,022 715 12 11,Schweiz,ARBSCHZZXXX
AXA Leben AG,General Guisan-Strasse 40,Postfach 357,8401,Winterthur,0800 809 809,Schweiz,AXIPCHZZXXX
"AXA Leben AG (Einzel, geb. Vermögen)",General Guisan-Strasse 40,,8400,Winterthur,058 215 30 62,Schweiz,AXIPCHZZWLE
AXA Versicherungen AG,General Guisan-Strasse 40,,8400,Winterthur,080 080 98 09,Schweiz,AXIPCHZZWIN
Axion SWISS Bank SA,Viale Stefano Franscini 22,,6900,Lugano,091 910 95 10,Schweiz,UNCECH22XXX
Axion SWISS Bank SA,Viale Stefano Franscini 22,,6900,Lugano,091 910 95 10,Schweiz,UNCECH22XXX
Baloise Bank SoBa AG,Amthausplatz 4,,4500,Solothurn,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Amthausplatz 4,,4500,Solothurn,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Herrengasse 10,,4710,Balsthal,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Dorfstrasse 41,,2544,Bettlach,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Hauptstrasse 24,,4562,Biberist,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Passwangstrasse 27,,4226,Breitenbach,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Solothurnstrasse 8,,4573,Lohn-Ammannsegg SO,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Bienkenstrasse 22,,4702,Oensingen,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Froburgstrasse 4,,4600,Olten,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Gösgerstrasse 2,,5012,Schönenwerd,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Steinmattstrasse 26,,4552,Derendingen,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Amthausstrasse,,4143,Dornach,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Centralstrasse 8,,2540,Grenchen,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Hauptstrasse 60,,4566,Kriegstetten,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Bitziusstrasse 15,,3360,Herzogenbuchsee,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Aeschengraben 25,,4002,Basel,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Förrlibuckstrasse 10,,8037,Zürich,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Spitalgasse 35,,3011,Bern,058 285 33 33,Schweiz,KBSOCH22XXX
Baloise Bank SoBa AG,Rue Pichard 13,,1002,Lausanne,058 285 33 33,Schweiz,KBSOCH22XXX
Banca Aletti & C. (Suisse) SA,Via D'Alberti 1,Casella postale 5826,6901,Lugano,091 911 81 11,Schweiz,VRBPCH22XXX
Banca Aletti & C. (Suisse) SA,Via D'Alberti 1,Casella postale 5826,6901,Lugano,091 911 81 11,Schweiz,VRBPCH22XXX
Banca CIC (Svizzera) SA,Via Serafino Balestra 5,Casella postale,6901,Lugano,091 911 63 63,Schweiz,CIALCHBBXXX
BANCA CREDINVEST SA,Via G. Cattori 14,,6902,Lugano,091 910 02 00,Schweiz,BCRECH22XXX
BANCA CREDINVEST SA,Via G. Cattori 14,,6902,Lugano,091 910 02 00,Schweiz,BCRECH22XXX
Banca del Ceresio SA,,Casella postale 2860,6901,Lugano,091 923 84 22,Schweiz,BACECH22XXX
Banca del Ceresio SA,,Casella postale 2860,6901,Lugano,091 923 84 22,Schweiz,BACECH22XXX
BANCA DEL SEMPIONE SA,Via Peri 5,Casella postale 2825,6901,Lugano 1,091 910 71 11,Schweiz,BASECH22XXX
BANCA DEL SEMPIONE SA,Via Peri 5,Casella postale 2825,6901,Lugano 1,091 910 71 11,Schweiz,BASECH22XXX
BANCA DEL SEMPIONE SA,Viale Stazione 8a,Casella postale 2021,6501,Bellinzona,091 820 66 11,Schweiz,BASECH2265A
BANCA DEL SEMPIONE SA,Piazza Boffalora 4,Casella postale 146,6830,Chiasso 1,091 695 67 11,Schweiz,BASECH2268B
BANCA DEL SEMPIONE SA,"Piazza Stazione 9, 6601 Muralto",Casella postale 664,6600,Locarno,091 743 49 77,Schweiz,BASECH2266A
Banca dello Stato del Cantone Ticino,Viale H. Guisan 5,Casella postale,6501,Bellinzona,091 803 71 11,Schweiz,BSCTCH22XXX
Banca dello Stato del Cantone Ticino,Viale H. Guisan 5,Casella postale,6501,Bellinzona,091 803 71 11,Schweiz,BSCTCH22XXX
Banca dello Stato del Cantone Ticino,Via Pioda 7,Casella postale,6901,Lugano,091 803 36 11,Schweiz,BSCTCH22LUG
Banca dello Stato del Cantone Ticino,Via Trevani,Casella postale,6601,Locarno,091 759 70 11,Schweiz,BSCTCH22LOC
Banca dello Stato del Cantone Ticino,Corso San Gottardo 4,Casella postale,6830,Chiasso 1,091 695 39 11,Schweiz,BSCTCH22CHI
Banca Intermobiliare di Investimenti e Gestioni (Suisse) SA,Contrada di Sasselo 10,Casella postale 5835,6901,Lugano,091 913 66 66,Schweiz,BIMLCH22XXX
Banca Julius Baer & Cie S.A.,Piazzetta San Carlo 1,Casella postale 2797,6901,Lugano,058 885 81 11,Schweiz,BAERCHZZXXX
Banca Popolare di Sondrio (Suisse) SA,,Casella postale 5832,6901,Lugano 1,091 973 36 00,Schweiz,POSOCH22XXX
Banca Popolare di Sondrio (Suisse) SA,,Casella postale 5832,6901,Lugano 1,091 973 36 00,Schweiz,POSOCH22XXX
Banca Raiffeisen Basso Ceresio,Via Cantonale 85,Casella postale 335,6818,Melano,091 640 29 29,Schweiz,RAIFCH22287
Banca Raiffeisen Basso Ceresio,Piazza Zorzi 2,Casella postale 80,6816,Bisone,091 640 29 29,Schweiz,RAIFCH22287
Banca Raiffeisen Basso Ceresio,Via dell' Indipenza 8,,6826,Riva San Vitale,091 640 29 29,Schweiz,RAIFCH22287
Banca Raiffeisen Bellinzonese e Visagno,Via G. Jauch 1,,6501,Bellinzona,091 826 16 76,Schweiz,RAIFCH22387
Banca Raiffeisen Bellinzonese e Visagno,Viale Moesa 2,,6517,Arbedo,091 829 29 60,Schweiz,RAIFCH22387
Banca Raiffeisen Bellinzonese e Visagno,In Ponton 2,,6702,Claro,091 863 10 33,Schweiz,RAIFCH22387
Banca Raiffeisen Centovalli Pedemonte Onsernone,Stradon 53,,6653,Verscio,091 785 61 10,Schweiz,RAIFCH22281
Banca Raiffeisen Colline del Ceresio,Via San Gottardo 139,Casella postale 544,6942,Savosa,091 961 01 01,Schweiz,RAIFCH22362
Banca Raiffeisen Colline del Ceresio,Via Polar 69,,6932,Breganzona,091 960 37 70,Schweiz,RAIFCH22362
Banca Raiffeisen del Basso Mendrisiotto,Corso San Gottardo 54A,Casella postale 2863,6830,Chiasso,091 690 55 11,Schweiz,RAIFCH22272
Banca Raiffeisen del Basso Mendrisiotto,Via San Gottardo 61,Casella postale 279,6828,Balerna,091 690 55 11,Schweiz,RAIFCH22272
Banca Raiffeisen del Camoghè,Via della Posta 7,,6512,Giubiasco,091 851 34 60,Schweiz,RAIFCH22344
Banca Raiffeisen del Camoghè,Via al Ticino 30,,6514,Sementina,091 851 34 63,Schweiz,RAIFCH22344
Banca Raiffeisen del Camoghè,el Cunvént 7,,6513,Monte Carasso,091 820 28 80,Schweiz,RAIFCH22344
Banca Raiffeisen del Camoghè,In Muntagna 4,,6528,Camorino,091 850 05 00,Schweiz,RAIFCH22344
Banca Raiffeisen del Cassarate,Piazza Motta,Casella Postale 162,6950,Tesserete,091 936 36 36,Schweiz,RAIFCH22366
Banca Raiffeisen del Cassarate,Via Campagna 2,,6965,Cadro,091 936 36 66,Schweiz,RAIFCH22366
Banca Raiffeisen del Cassarate,Via Massagno 1a,,6952,Canobbio,091 936 36 76,Schweiz,RAIFCH22366
Banca Raiffeisen del Cassarate,via Cantonale 12A,,6944,Cureglia,091 936 36 96,Schweiz,RAIFCH22366
Banca Raiffeisen del Moesano,Strada di Magistri 10,,6535,Roveredo GR,091 820 45 45,Schweiz,RAIFCH22A54
Banca Raiffeisen del Moesano,Stradón 22,,6563,Mesocco,091 820 45 60,Schweiz,RAIFCH22A54
Banca Raiffeisen del Monte San Giorgio,Via Mastri Ligornettesi 17,,6853,Ligornetto,091 640 91 00,Schweiz,RAIFCH22332
Banca Raiffeisen del Vedeggio,Via Grumo 31,,6929,Gravesano,091 960 30 10,Schweiz,RAIFCH22283
Banca Raiffeisen del Vedeggio,Via Carvina 4,,6807,Taverne,091 960 30 10,Schweiz,RAIFCH22283
Banca Raiffeisen del Vedeggio,Via Sirana 54,,6814,Lamone,091 960 30 10,Schweiz,RAIFCH22283
Banca Raiffeisen del Vedeggio,Via Cantonale 86,,6802,Rivera,091 960 30 10,Schweiz,RAIFCH22283
Banca Raiffeisen della Campagnadorna,Via Boff 2,,6855,Stabio,091 640 71 71,Schweiz,RAIFCH22365
Banca Raiffeisen della Campagnadorna,Via Boschetto 1,Casella postale 22,6883,Novazzano,091 640 71 71,Schweiz,RAIFCH22365
Banca Raiffeisen della Campagnadorna,Piazza Baraini,,6852,Genestrerio,091 640 71 71,Schweiz,RAIFCH22365
Banca Raiffeisen della Campagnadorna,Via Monte Generoso 2,,6877,Coldrerio,091 640 71 71,Schweiz,RAIFCH22365
Banca Raiffeisen della Magliasina,Via Stazione 20,Casella postale 249,6987,Caslano,091 606 26 33,Schweiz,RAIFCH22317
Banca Raiffeisen della Magliasina,Via Cantonale,,6983,Magliaso,091 606 10 78,Schweiz,RAIFCH22317
Banca Raiffeisen della Magliasina,Via Cantonale,,6998,Monteggio,091 608 16 26,Schweiz,RAIFCH22317
Banca Raiffeisen Locarno,Piazza Muraccio 6,Casella postale 441,6601,Locarno,091 756 10 70,Schweiz,RAIFCH22379
Banca Raiffeisen Locarno,Via Vallemaggia 73,,6600,Solduno,091 756 10 70,Schweiz,RAIFCH22379
Banca Raiffeisen Locarno,Piazza Stazione 4A,,6600,Muralto,091 756 10 70,Schweiz,RAIFCH22379
Banca Raiffeisen Locarno,Via San Gottardo 80A,,6648,Minusio,091 756 10 70,Schweiz,RAIFCH22379
Banca Raiffeisen Losone Pedemonte Vallemaggia,Al Croséll 4,,6673,Maggia,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Losone Pedemonte Vallemaggia,viale Papio 8,Casella postale,6612,Ascona,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Losone Pedemonte Vallemaggia,Via S. Materno 1,,6616,Losone,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Losone Pedemonte Vallemaggia,Stradon 53,,6653,Verscio,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Losone Pedemonte Vallemaggia,Via Cantonale,,6655,Intragna,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Losone Pedemonte Vallemaggia,Piazza 5,,6675,Cevio,091 759 02 50,Schweiz,RAIFCH22333
Banca Raiffeisen Lugano,Via Pretorio 22,,6900,Lugano,091 911 90 01,Schweiz,RAIFCH22375
Banca Raiffeisen Lugano,Via Cersesio 55,,6963,Pregassona,091 911 90 01,Schweiz,RAIFCH22375
Banca Raiffeisen Malcantonese,Via Contrada Nuova 3,,6982,Agno,091 611 18 00,Schweiz,RAIFCH22307
Banca Raiffeisen Malcantonese,Via Cademario 9,Casella postale 208,6934,Bioggio,091 611 18 00,Schweiz,RAIFCH22307
Banca Raiffeisen Malcantonese,Piazzale Demarta,Casella postale 142,6986,Novaggio,091 611 18 00,Schweiz,RAIFCH22307
Banca Raiffeisen Mendrisio e Valle di Muggio,Via Lavizzari 19A,Casella postale 73,6850,Mendrisio,091 640 34 34,Schweiz,RAIFCH22340
Banca Raiffeisen Mendrisio e Valle di Muggio,Via G.B. Maggi,,6874,Castel San Pietro,091 640 34 34,Schweiz,RAIFCH22340
Banca Raiffeisen Mendrisio e Valle di Muggio,Via V. Vela 9,,6862,Rancate,091 640 34 34,Schweiz,RAIFCH22340
Banca Raiffeisen Mendrisio e Valle di Muggio,Via Mastri Ligornettesi 17,,6853,Ligornetto,091 640 34 34,Schweiz,RAIFCH22340
Banca Raiffeisen Morbio-Vacallo,Via Asilo 3,Casella postale 260,6834,Morbio Inferiore,091 697 57 00,Schweiz,RAIFCH22290
Banca Raiffeisen Morbio-Vacallo,Via Gen. Guisan 2,,6833,Vacallo,091 697 57 75,Schweiz,RAIFCH22290
Banca Raiffeisen Piano di Magadino,Via San Gottardo 67,Casella postale 1033,6596,Gordola,091 735 12 12,Schweiz,RAIFCH22280
Banca Raiffeisen Piano di Magadino,Via Locarno 1,,6516,Cugnasco,091 735 12 12,Schweiz,RAIFCH22280
Banca Raiffeisen Piano di Magadino,Via Stazione 15,,6593,Cadenazzo,091 735 12 12,Schweiz,RAIFCH22280
Banca Raiffeisen Piano di Magadino,Via Canonale 138,,6573,Magadino,091 735 12 12,Schweiz,RAIFCH22280
Banca Raiffeisen Tre Valli,Via A. Giovannini 4,,6710,Biasca,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Tre Valli,via Campagna,,6713,Malvaglia,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Tre Valli,zona Lavorceno,,6718,Olivone,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Tre Valli,Via Cantonale 147,,6527,Lodrino,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Tre Valli,Piazza Stefano Franscini 6,,6760,Faido,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Tre Valli,Via San Gottardo 41,,6780,Airolo,091 873 99 00,Schweiz,RAIFCH22350
Banca Raiffeisen Vallemaggia,Via Cantonale,,6673,Maggia,091 759 02 50,Schweiz,RAIFCH22335
Banca Raiffeisen Valposchiavo,Via da Spultri 20,,7742,Poschiavo,081 839 10 10,Schweiz,RAIFCH22B03
Banca Raiffeisen Valposchiavo,Via Cantonale 334,,7743,Brusio,081 839 10 20,Schweiz,RAIFCH22B03
Banca RaiffeisenLosone Pedemonte Vallemaggia,Via R. Leoncavallo 33,,6614,Brissago,091 759 02 50,Schweiz,RAIFCH22333
BANCA ZARATTINI & Co. SA,Via Pretorio 1,Casella postale 5893,6900,Lugano,091 912 55 55,Schweiz,EUBACH22XXX
BANCA ZARATTINI & Co. SA,Via Pretorio 1,Casella postale 5893,6900,Lugano,091 912 55 55,Schweiz,EUBACH22XXX
Banco Itaú (Suisse) SA,Bleicherweg 30,,8002,Zürich,044 575 50 00,Schweiz,ITAUCHZZXXX
Banco Itaú (Suisse) SA,Bleicherweg 30,,8002,Zürich,044 575 50 00,Schweiz,ITAUCHZZXXX
Banco Santander International SA,,Case postale 1256,1211,Genève 1,022 909 22 22,Schweiz,BSCHCHGGXXX
Banco Santander International SA,,Case postale 1256,1211,Genève 1,022 909 22 22,Schweiz,BSCHCHGGXXX
BANK ALPINUM AKTIENGESELLSCHAFT,Austrasse 59,Postfach 1528,9490,Vaduz,239 62 11,Schweiz,BALPLI22XXX
BANK ALPINUM AKTIENGESELLSCHAFT,Austrasse 59,Postfach 1528,9490,Vaduz,239 62 11,Schweiz,BALPLI22XXX
Bank Avera Genossenschaft,Bahnhofstrasse 3,Postfach,8620,Wetzikon ZH,044 933 54 00,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Bahnhofstrasse 3,Postfach,8620,Wetzikon ZH,044 933 54 00,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Bahnhofstrasse 7,,8340,Hinwil,044 938 89 89,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Rütistrasse 9,,8636,Wald ZH,055 256 20 80,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Ferrachstrasse 8,,8630,Rüti ZH,055 251 40 50,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Dorfstrasse 10,,8608,Bubikon,055 253 43 00,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Bahnhofstrasse 16,,8330,Pfäffikon ZH,044 952 15 15,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Bruggwiesenstrasse 5,,8307,Effretikon,052 355 11 22,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Dorfstrasse 46,,8494,Bauma,052 396 50 60,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Usterstrasse 11,,8308,Illnau,052 355 22 55,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Kempttalstrasse 48,,8320,Fehraltorf,044 954 83 30,Schweiz,RBABCH22850
Bank Avera Genossenschaft,Untere Heslibachstrasse 9,Postfach 1508,8700,Küsnacht ZH,044 913 39 00,Schweiz,RBABCH22850
