Name,Arbeitszeit,Arbeitszeit/Arbeitszeit von,Arbeitszeit/Arbeitszeit bis
Standard 40 hours/week,Monday Morning,8,12
,Monday Afternoon,13,17
,Tuesday Morning,8,12
,Wednesday Morning,8,12
,Thursday Morning,8,12
,Friday Morning,8,12
,Friday Afternoon,13,17
Standard 35 hours/week,Monday Morning,8,12
,Monday Afternoon,13,16
,Tuesday Morning,8,12
,Tuesday Afternoon,13,16
,Wednesday Morning,8,12
,Wednesday Afternoon,13,16
,Thursday Morning,8,12
,Thursday Afternoon,13,16
,Friday Morning,8,12
,Friday Afternoon,13,16
Standard 38 hours/week,Monday Morning,8,12
,Monday Afternoon,13,16.6
,Tuesday Morning,8,12
,Tuesday Afternoon,13,16.6
,Wednesday Morning,8,12
,Wednesday Afternoon,13,16.6
,Thursday Morning,8,12
,Thursday Afternoon,13,16.6
,Friday Morning,8,12
,Friday Afternoon,13,16.6
Standard 32 hours/week,Montagmorgen,8,12
,Monday Afternoon,13,17
,Tuesday Afternoon,13,17
,Wednesday Afternoon,13,17
,Thursday Afternoon,13,17
Standard 24 hours/week,Dienstagmorgen,8,12
,Tuesday Afternoon,13,17
,Mittwochmorgen,8,12
,Wednesday Afternoon,13,17
,Donnerstagmorgen,8,12
,Thursday Afternoon,13,17
